,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
78,Hyundai Venue S 1.0 Petrol [2019-2020],15763,1,7,2019,8.97,304
79,Mercedes-Benz C-Class 200 K AT,119500,1,0,2010,8.5,665
80,Maruti Suzuki Wagon R 1.0 VXi,42697,1,7,2013,2.76,651
81,Hyundai Elite i20 Magna Executive 1.2,45000,1,0,2018,6.9,252
82,Maruti Suzuki Vitara Brezza ZDi Plus,55174,0,12,2019,10.44,634
83,Honda City VX CVT,82953,1,3,2016,7.35,173
84,Maruti Suzuki Wagon R 1.0 VXI AMT,85138,1,12,2016,3.9,648
85,Audi Q5 3.0 TDI quattro Premium Plus,57000,0,6,2015,25,37
86,Audi A6 2.0 TDI Premium,52000,0,7,2013,11.25,18
87,Hyundai Creta SX Plus 1.6  Petrol,27623,1,2,2016,9.79,231
88,Hyundai Xcent SX 1.2 (O),73333,1,2,2015,4.99,335
89,MG Hector Sharp 2.0 Diesel [2019-2020],45999,0,2,2019,16.59,438
90,Maruti Suzuki Baleno Sigma 1.2,61518,1,9,2017,5.45,517
91,Maruti Suzuki S-Presso VXi Plus,65,1,4,2021,4.76,606
92,Maruti Suzuki Baleno Zeta 1.3,42400,0,2,2017,7.39,522
93,Jeep Compass Limited 1.4 Petrol AT [2017-2020],45221,1,8,2017,13.95,373
94,Maruti Suzuki Ignis Zeta 1.2 MT,11290,1,12,2020,6.28,594
95,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,68446,1,4,2016,4.09,283
96,Honda City V,51850,1,8,2015,5.9,168
97,Toyota Glanza G CVT,10000,1,8,2020,7.95,878
98,Audi Q3 2.0 TDI quattro Premium,69500,0,0,2012,11.9,26
99,Maruti Suzuki Swift DZire ZXI,44681,1,6,2012,4.45,612
100,Renault Kwid RXT [2015-2019],65428,1,12,2016,2.99,754
101,Hyundai Verna Fluidic 1.6 VTVT SX,84344,1,4,2013,3.91,322
102,Maruti Suzuki Vitara Brezza ZDi Plus AGS,113600,0,13,2018,8.9,635
