,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
344,Maruti Suzuki Celerio VXi,24063,1,7,2015,3.57,524
345,Volkswagen Polo Highline1.2L (P),59819,1,8,2015,5.21,917
346,Renault Kwid 1.0 RXT Opt,8297,1,4,2019,4.39,742
347,Maruti Suzuki Dzire ZXi AMT,32740,1,12,2017,7.35,573
348,BMW 5 Series 520d Luxury Line [2017-2019],34500,0,0,2020,45.99,53
349,Kia Sonet GTX Plus 1.5 [2020-2021],25007,0,12,2020,14.19,405
350,Maruti Suzuki Ignis Sigma 1.2 MT,38944,1,3,2019,4.89,593
351,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],72757,1,4,2016,4.05,276
352,Volkswagen Vento Trendline Petrol,101740,1,6,2010,3.5,937
353,Maruti Suzuki Celerio ZXi AMT [2019-2020],9130,1,12,2019,5.99,540
354,Honda Jazz V AT Petrol,48650,1,8,2017,6.75,191
355,Hyundai Creta 1.6 SX Plus AT Petrol,40314,1,12,2016,10.29,214
356,Volvo XC90 D5 AWD,30800,0,0,2015,22.87,945
357,Maruti Suzuki Alto 800 Lxi CNG,33000,3,9,2019,3.45,496
358,Hyundai Elite i20 Sportz 1.2 [2016-2017],54000,1,6,2019,7.9,256
359,Honda City V,22500,1,13,2018,8.45,168
360,Toyota Glanza G CVT,29866,1,2,2020,8.49,878
361,Ford Aspire Titanium 1.2 Ti-VCT,65000,1,9,2017,5.35,93
362,Ford EcoSport Titanium 1.0 Ecoboost (Opt),78822,1,5,2014,4.75,103
363,Volkswagen Taigun GT Plus 1.5 TSI DSG,9792,1,0,2021,16.49,919
364,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],64774,1,2,2016,5.69,267
365,Toyota Fortuner 2.8 4x2 MT [2016-2020],31283,0,2,2018,33.75,870
366,Skoda Rapid Ambition 1.6 MPI AT,10713,1,4,2020,10.82,774
367,Maruti Suzuki Baleno Zeta 1.2,13127,1,7,2021,6.99,520
368,Maruti Suzuki Wagon R 1.0 VXI AMT,50000,1,13,2016,4.25,648
369,Maruti Suzuki Alto 800 Lxi,35340,1,12,2018,3.25,495
370,Honda Jazz V AT Petrol,27654,1,8,2017,6.51,191
371,Hyundai Santro Sportz CNG [2018-2020],40067,3,12,2018,5.23,295
372,Maruti Suzuki Baleno Delta 1.2,50899,1,4,2018,5.48,512
373,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],52000,1,13,2017,4.6,276
374,Honda City S Petrol,51292,1,13,2017,6.95,163
375,Hyundai Elite i20 Magna Executive 1.2,19905,1,7,2017,5.19,252
376,Tata Nano Twist XT,18000,1,0,"2,015",1.1,810
377,Maruti Suzuki Ertiga VXI CNG,28715,3,13,2021,11.4,580
378,Maruti Suzuki Ertiga Vxi CNG,69161,3,8,2015,7.21,584
379,Maruti Suzuki S-Cross Zeta 1.3,54571,0,12,2017,8.87,603
380,Honda City VX CVT,25000,1,13,2016,7.75,173
381,Honda City VX,24259,1,7,2019,8.75,172
382,Maruti Suzuki Alto 800 Lxi,30233,1,12,2015,2.95,495
383,Mahindra Thar LX Hard Top Diesel AT,21000,0,4,2021,17.5,471
384,Maruti Suzuki Ertiga VXI CNG,51000,3,13,2017,8.25,580
385,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],23137,1,13,2016,4.5,276
386,Land Rover Discovery Sport HSE,159070,0,6,2015,26,411
387,Maruti Suzuki Dzire VDi AMT,52328,0,9,2018,6.45,567
388,Maruti Suzuki Baleno RS 1.0,35849,1,12,2017,6.66,516
389,Hyundai Venue SX 1.0 Petrol [2019-2020],24783,1,2,2020,10.66,309
390,Maruti Suzuki Ciaz VXi,27346,1,7,2016,5,556
391,Hyundai i10 Magna 1.2 Kappa2,75619,1,3,2014,3.49,343
392,Hyundai i10 Magna 1.2 Kappa2,54000,1,7,2013,2.45,343
393,Nissan Sunny XE,58000,1,9,2012,2.95,711
394,Jeep Wrangler Rubicon,27340,1,6,2021,65,385
395,Maruti Suzuki Swift VXi AMT,17000,1,10,2020,6.3,622
396,Volkswagen Vento Highline 1.5 (D) AT,111139,0,8,2018,7.9,928
397,Hyundai Elantra 1.6 SX (O) AT,40916,0,12,2018,18.75,233
398,Honda WR-V VX MT Diesel,120463,0,14,2018,9.5,201
399,Honda BR-V VX Diesel,94197,0,13,2017,7.99,148
400,Maruti Suzuki Swift DZire VXI,76859,1,12,2014,4.24,610
401,Honda City S Petrol,33000,1,0,2017,7.25,163
402,Maruti Suzuki Baleno Delta 1.2,17286,1,7,2018,5.96,512
403,Mercedes-Benz GLA 220 d 4MATIC,40484,0,2,2017,28.5,690
404,Tata Tiago Revotorq XZ Plus,70450,0,0,2020,5.4,838
405,Honda City V,45074,1,7,2019,8.4,168
406,Hyundai Elite i20 Asta 1.4 CRDI,101000,0,13,2015,6.95,246
407,BMW 7 Series 760Li,22000,1,0,2016,59,62
408,Hyundai i20 Sportz 1.2 BS-IV,69000,1,8,2012,3.45,359
409,Maruti Suzuki Dzire VXi AMT,14895,1,12,2018,6.96,569
410,Tata Tiago XZ Plus CNG,11444,3,4,2022,8.1,847
411,Tata Tiago Revotron XE [2016-2019],32120,1,4,2018,4.14,839
412,Toyota Fortuner 2.8 4x4 AT [2016-2020],64300,0,0,2019,33,871
413,Tata Harrier XZA Plus,30503,0,13,2021,22,802
414,Honda City SV Petrol [2019-2020],62042,1,0,2019,8.25,167
415,Mahindra TUV300 T8,122924,0,6,2017,7.45,466
416,Ford EcoSport Titanium 1.5L Ti-VCT AT,37000,1,0,2016,6.9,109
417,Skoda Kushaq Style 1.5L TSI DSG (6 Airbags),23402,1,2,2021,19.25,762
418,Audi A4 35 TFSI Premium Sunroof,35000,1,8,2015,17.25,16
419,Hyundai Elite i20 Asta 1.2 (O) [2016],38657,1,12,2017,6.39,241
420,Maruti Suzuki Wagon R 1.0 VXI AMT,64000,1,6,2016,4.45,648
421,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],35094,1,12,2018,5.1,275
422,Toyota Glanza G,18000,1,14,2021,7.3,877
423,Nissan Magnite XE,18503,1,12,2021,6.7,705
424,Ford EcoSport Titanium 1.5 Ti-VCT AT,30000,1,4,2018,8.25,106
425,Honda Jazz ZX CVT,33197,1,3,2020,8.42,198
426,Land Rover Range Rover Velar 2.0 R-Dynamic Petrol 250,39800,1,13,2019,77,424
427,Ford EcoSport Titanium + 1.5L TDCi,83000,0,0,2016,6.9,100
428,BMW 3 Series GT 320d Luxury Line [2014-2016],3600000,0,12,2019,36,49
429,Maruti Suzuki Swift ZXi Plus,24783,1,7,2021,7.15,629
430,Maruti Suzuki Vitara Brezza VDi (O) [2016-2018],55000,0,13,2017,8.15,631
431,Hyundai Santro Sportz [2018-2020],11844,1,12,2019,5.54,296
432,Jeep Compass Limited (O) 2.0 Diesel 4x4 [2017-2020],37430,0,6,2017,16.95,371
433,Mahindra XUV500 W8,81682,0,2,2013,8.79,486
434,Hyundai Xcent S 1.2,32700,1,0,2014,4.9,330
435,Honda WR-V VX MT Petrol,23795,1,3,2021,10.19,202
436,Maruti Suzuki Swift DZire ZXI,37188,1,12,2015,5.18,612
437,Maruti Suzuki Alto K10 VXi [2014-2019],27044,1,2,2017,3.79,507
438,Hyundai Elite i20 Sportz 1.4 CRDI [2016-2017],52451,0,6,2016,6.6,258
439,MG Hector Sharp 1.5 Petrol Turbo DCT,35200,1,2,2020,16.49,436
440,Hyundai Elite i20 Sportz 1.2,30490,1,2,2019,8.49,254
441,Maruti Suzuki Celerio ZXi AMT [2019-2020],65000,1,13,2019,5,540
442,Maruti Suzuki Alto 800 LXi CNG (O),36427,3,8,2017,3.49,493
443,Hyundai Santro Sportz,47873,1,12,2020,5.89,292
444,Mahindra XUV500 W10,116000,0,9,2015,8.65,479
445,Volkswagen Taigun Topline 1.0 TSI AT,11321,1,13,2022,17.9,921
446,Hyundai Creta E Plus 1.6 Petrol,12000,1,13,2018,9.3,219
447,Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],23671,1,2,2018,6.95,285
448,Maruti Suzuki SX4 ZXi,58000,1,7,2009,1.6,609
449,Honda Amaze 1.2 V CVT Petrol [2018-2020],38868,1,4,2018,6.65,137
450,Honda City VX CVT,33613,1,8,2016,7.95,173
451,Audi Q3 35 TDI Premium + Sunroof,90246,0,0,2016,20.5,30
452,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,58005,1,13,2018,5,283
453,Toyota Yaris V MT,44000,1,6,2018,9.8,902
454,Maruti Suzuki Swift VXi AMT,28151,1,4,2019,7.04,622
455,Hyundai Creta 1.6 E Petrol,59233,1,9,2015,7.45,207
456,Hyundai Grand i10 Era 1.1 CRDi [2016-2017],34000,0,14,2017,5,271
457,Maruti Suzuki Baleno Alpha 1.2,47500,1,13,2017,6.1,509
458,Honda City 1.5 V MT,82000,1,13,2010,3.25,157
459,Toyota Fortuner Legender 4X2 AT 2.8 Legender,28000,0,12,2021,48.5,876
460,Toyota Etios Cross 1.2 G,32545,1,7,2015,4.35,863
461,Honda City V,82852,1,4,2014,6.53,168
462,Ford EcoSport Titanium 1.5 TDCi,56615,0,13,2015,5.99,104
463,Kia Seltos GTX Plus AT 1.4 [2019-2020],57600,1,3,2019,14.9,393
464,Hyundai Grand i10 Magna 1.1 CRDi [2016-2017],30704,0,6,2018,6.2,273
465,BMW X5 xDrive 30d,60000,0,12,2017,47.9,71
466,Maruti Suzuki Baleno Delta 1.2,14813,1,4,2016,5.27,512
467,Fiat Punto Active 1.3,85451,0,6,2014,3.5,91
468,Renault Kwid CLIMBER 1.0 AMT [2017-2019],39736,1,8,2017,4.25,747
469,Mercedes-Benz C-Class C 220 CDI Avantgarde,31283,0,2,2016,28.78,669
470,Honda City SV CVT,69000,1,13,2015,6.15,165
471,Maruti Suzuki XL6 Zeta AT Petrol,14222,1,0,2022,12.9,659
472,Honda City 1.5 S MT,63000,1,8,2011,3.45,156
473,Volkswagen Polo Comfortline 1.2L (D),57261,0,7,2013,2.9,911
474,Skoda Rapid Ambition 1.6 MPI AT,14049,1,7,2020,10.13,774
475,Hyundai Eon Era +,75000,1,0,2016,2.95,263
476,Maruti Suzuki S-Presso VXi Plus,66,1,4,2021,4.76,606
477,Maruti Suzuki Dzire VDi,91000,0,6,2018,7.85,566
478,Maruti Suzuki Ritz VXI BS-IV,39900,1,13,2011,2.35,595
479,Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],9355,1,13,2022,19.25,223
480,Maruti Suzuki Baleno Zeta 1.2 AT,55000,1,14,2018,7,521
481,Volkswagen Taigun Highline 1.0 TSI AT,16777,1,2,2021,17.49,920
482,Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],55627,0,2,2018,24.49,888
483,Maruti Suzuki Ertiga ZXi,67590,1,8,2014,5.95,587
484,Nissan Micra Active XV,16937,1,7,2017,3.25,708
485,Honda City V,36000,1,8,2018,8.75,168
486,Honda Amaze 1.2 VX MT Petrol [2018-2020],7702,1,12,2022,8.57,140
487,Maruti Suzuki S-Presso VXi Plus,50729,1,12,2020,4.54,606
488,BMW 3 Series 330i Sport Line,63000,1,0,2018,22.5,48
489,MINI Cooper Countryman Cooper D,46251,0,0,2014,14.75,443
490,Hyundai Verna 1.4 VTVT,67000,1,0,2016,5.9,314
491,Mercedes-Benz CLA 200 CDI Sport,52295,0,6,2016,25,673
492,Maruti Suzuki Alto 800 Lxi,52460,1,12,2015,2.92,495
493,Hyundai i20 Asta 1.2,41429,1,12,2012,4.3,353
494,Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],28449,1,8,2019,18.25,370
495,Hyundai Santro Sportz [2018-2020],57588,1,12,2019,5.26,296
496,Mercedes-Benz CLA 200 CDI Sport,51500,0,7,2015,16.49,673
497,Maruti Suzuki Wagon R 1.0 VXI AMT,53830,1,0,2018,4.9,648
498,Toyota Innova 2.5 G4 8 STR,120000,0,13,2009,4.25,885
499,Tata Indica V2 DLE BS-III,50000,0,10,2007,60000,808
500,Maruti Suzuki Alto 800 Lxi,68000,1,6,2015,3.1,495
501,Maruti Suzuki Baleno Zeta,22772,1,7,2018,6.55,519
502,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],22407,1,8,2017,4.65,276
503,Hyundai Elite i20 Sportz 1.2 (O),61546,1,12,2018,6.3,255
504,Hyundai i20 Magna 1.2,68000,1,9,2012,3.1,355
505,Honda City SV CVT,45000,1,0,2015,6.9,165
506,MG Astor Sharp 1.5 CVT,4946,1,13,2021,16.85,428
507,Maruti Suzuki Wagon R 1.0 VXI,13889,1,12,2017,4.64,646
508,Jeep Compass Limited 1.4 Petrol AT [2017-2020],23409,1,12,2019,16.92,373
509,Toyota Fortuner 2.8 4x2 AT [2016-2020],82000,0,6,2017,32.5,869
510,Maruti Suzuki Celerio VXi,40900,1,2,2014,4.15,524
511,Mercedes-Benz A-Class A 200d,8368,0,2,2017,22.95,661
512,Toyota Fortuner 3.0 4x2 AT,107281,0,2,2012,16.49,872
513,Maruti Suzuki Swift VXi ABS,51595,1,4,2013,3.4,621
514,Renault Kwid 1.0 RXT [2016-2019],22541,1,2,2018,4.6,744
515,Mercedes-Benz GLC 220 d Sport,46000,0,12,2018,44,692
516,Maruti Suzuki Wagon R 1.0 VXI,20728,1,7,2016,3.59,646
517,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],44868,1,2,2019,5.95,275
518,Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,18631,1,12,2019,7.33,281
519,Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],48969,0,13,2018,18.9,889
520,Toyota Innova Crysta ZX 2.4 7 STR,42000,0,6,2022,33.5,892
521,Maruti Suzuki Wagon R ZXi 1.2,9011,1,2,2021,6.49,657
522,Honda City VX CVT,77116,1,6,2015,9.5,173
523,Honda City Anniversary Edition Diesel,26500,Diesel ,1,2018,8.2,159
524,Hyundai Creta SX Plus 1.6  Petrol,22872,1,2,2017,11.37,231
525,Volvo V40 D3 Kinetic,30000,0,0,2016,16,941
526,Hyundai Elite i20  Asta 1.2 AT,33647,1,13,2018,7.5,238
527,Maruti Suzuki Alto 800 Vxi,27233,1,7,2014,2.23,498
528,Hyundai Creta SX (O) 1.5 Petrol CVT [2020-2022],28374,1,13,2021,17.25,223
529,Mahindra Scorpio S6 Plus 1.99 Intelli-Hybrid,80500,0,4,2017,8.95,464
530,Volkswagen Polo GT TSI,41417,1,2,2017,9.45,914
531,Maruti Suzuki Alto 800 Vxi,23377,1,4,2015,2.67,498
532,Hyundai Elite i20 Asta 1.4 (O) CRDi,75126,0,6,2018,8.5,245
533,Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],16700,1,0,2020,9.49,545
534,Honda WR-V VX MT Petrol,27429,1,7,2019,6.99,202
535,Renault Kwid RXL [2015-2019],40000,1,9,2018,2.95,752
536,Ford Figo Duratorq Diesel Titanium 1.4,50945,0,6,2015,4.75,122
537,Maruti Suzuki Swift VXi [2014-2017],9500,1,13,2019,6.5,624
538,Honda Civic 1.8V MT,107551,1,8,2009,2.35,183
539,Mahindra XUV700 AX 7 Diesel AT 7 STR,2100,0,0,2022,28,488
540,Maruti Suzuki Swift VXi,40110,1,7,2012,3.27,620
541,Honda Brio E MT,60000,1,10,2013,3.7,149
542,Honda CR-V 2.4 AT,74009,1,8,2015,12.51,154
543,BMW 3 Series 330i M Sport Edition,13900,1,0,2020,47.5,47
544,BMW X5 xDrive 30d,28000,0,0,2017,48,71
545,Maruti Suzuki S-Presso VXi,11537,1,0,2020,4.5,605
546,Toyota Glanza V CVT,15928,1,2,2021,9.85,880
547,Mahindra Alturas G4 4WD AT [2018-2020],40180,0,7,2019,21.45,447
548,Renault Duster 85 PS RxL,22601,0,6,2018,8.5,732
549,BMW 3 Series GT 320d Sport Line [2014-2016],99000,0,6,2016,27.5,50
550,Maruti Suzuki Ignis Alpha 1.2 MT,10658,1,12,2020,7.12,591
551,Maruti Suzuki Celerio VXi (O) CNG,75044,3,12,2020,5.56,525
552,Ford EcoSport Signature Edition Diesel,52000,0,13,2019,10.2,99
553,Maruti Suzuki Ciaz Zeta 1.4 MT,43999,1,2,2018,8.75,563
554,Honda Jazz VX Petrol,92270,1,8,2017,5.7,196
555,Maruti Suzuki Swift DZire VXI,77000,1,13,2012,3.7,610
556,Audi Q3 35 TDI Premium Plus + Sunroof,148108,0,0,2015,15,31
557,Maruti Suzuki Wagon R 1.0 VXI,39876,1,12,2016,4.07,646
558,Jaguar XF 2.2 Diesel Luxury,67534,0,0,2014,19.5,368
559,Maruti Suzuki Alto 800 Lxi CNG,75430,3,12,2015,3.3,496
560,Maruti Suzuki Alto K10 VXi,20000,Petrol ,14,2022,4.2,502
561,Maruti Suzuki Vitara Brezza ZDi Plus AGS,32000,0,2,2019,11.5,635
562,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],29000,1,6,2016,5.35,287
563,Hyundai i20 Active 1.2 S,60273,1,6,2016,6.45,347
564,Honda Amaze 1.2 S i-VTEC,57000,1,13,2015,4.5,135
565,Tata Nexon XZ Plus (O),3280,1,13,2022,10.65,820
566,Audi Q7 Technology 55 TFSI,6500,1,12,2022,93,42
567,Toyota Fortuner 2.8 4x2 AT [2016-2020],51000,0,8,2018,32.5,869
568,Toyota Corolla Altis JS Petrol,90293,1,8,2015,6.45,860
569,Maruti Suzuki Swift DZire ZXI,36000,1,13,2013,3.95,612
570,Mercedes-Benz E-Class E250 CDI Avantgarde,39000,0,0,2014,22,682
571,BMW 5 Series 520d Luxury Line [2017-2019],25234,0,6,2019,51.95,53
572,Hyundai i10 Magna 1.2 Kappa2,75619,1,3,2014,3.49,343
573,Skoda Kodiaq L&K 2.0 TDI 4x4 AT,61213,0,6,2019,32.6,759
574,Renault Kwid RXT [2015-2019],36904,1,12,2021,4.46,754
575,Maruti Suzuki Swift VXi [2014-2017],16304,1,7,2018,5.42,624
576,Skoda Octavia Elegance 1.8 TSI AT,43000,1,8,2015,9.45,770
577,Tata Nexon XZA Plus (S),20763,1,5,2021,12.25,825
578,Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],38500,3,13,2016,4.75,576
579,Mahindra Thar CRDe 4x4 Non AC,41535,0,6,2017,7.3,468
580,Maruti Suzuki Baleno Alpha 1.2,24645,1,13,2019,7.31,509
581,BMW X5 xDrive 30d M Sport,48213,0,8,2018,53,72
582,BMW X5 xDrive30d xLine,80000,0,13,2017,42.5,73
583,Audi Q3 2.0 TDI quattro Premium Plus,79000,0,0,2015,15.13,27
584,Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],32031,1,8,2021,11.55,545
585,Hyundai i10 Sportz 1.2 AT Kappa2,65002,1,13,2013,2.95,345
586,Mahindra XUV300 W8 1.5 Diesel,39300,0,12,2021,15.74,478
587,Renault Kwid 1.0 RXT AMT Opt [2016-2019],25332,1,2,2016,4.95,741
588,Maruti Suzuki Alto 800 Lxi,24456,1,12,2016,2.98,495
589,Hyundai Grand i10 Asta 1.2 Kappa VTVT,32491,1,3,2017,5.21,266
590,Hyundai Elite i20 Sportz 1.2,12593,1,8,2018,6.45,254
591,Hyundai Santro Sportz [2018-2020],34267,1,12,2019,5.5,296
592,Maruti Suzuki Celerio ZXi AMT ABS,29855,1,4,2016,4.82,538
593,Hyundai i20 Active 1.2 S,15367,1,13,2015,5.5,347
594,Hyundai Venue S 1.0 Petrol [2019-2020],14667,1,7,2019,8.95,304
595,Hyundai Verna 1.6 VTVT S,41990,1,7,2016,5.49,316
596,Hyundai Creta 1.6 SX,59000,0,6,2018,14.25,210
597,Hyundai Xcent S 1.1 CRDi (O),48000,0,7,2015,3.5,329
598,Maruti Suzuki Celerio ZXi AMT [2017-2019],17542,1,2,2018,5.6,539
599,Skoda Rapid Ambition 1.6 MPI AT,57702,1,2,2018,8.99,774
600,Honda City 1.5 S AT,42408,1,6,2013,6.2,155
601,Renault Triber RXZ EASY-R AMT,19784,1,8,2020,7.5,757
602,Honda City VX CVT,51000,1,7,2016,5.99,173
603,Renault Duster 85 PS Base 4X2 MT Diesel,75795,0,2,2018,8.62,730
604,Toyota Innova Crysta ZX 2.4 AT 7 STR,22562,0,6,2021,32.5,893
605,Maruti Suzuki Baleno Alpha Automatic,21367,1,2,2018,8.95,510
606,Mercedes-Benz C-Class 200 K AT,76000,1,0,2006,4.63,665
607,Mercedes-Benz C-Class C 220 CDI Avantgarde,30000,0,2,2015,26.5,669
608,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],41017,1,8,2015,5.35,270
609,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],58184,1,12,2016,5.24,269
610,Maruti Suzuki Ciaz Zeta 1.4 AT,31573,1,6,2018,9,562
611,Tata Nexon EV XZ Plus,4100,2,8,2022,15,812
612,Mahindra Quanto C8,100000,0,14,2012,3,461
613,Tata Tigor Buzz Petrol,33100,1,0,2018,4.9,848
614,Maruti Suzuki Dzire VXi,19000,1,13,2018,6.65,568
615,Honda City V,9300,1,0,2022,9.91,168
616,Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT,18631,1,12,2019,7.33,281
617,Hyundai Tucson 2WD MT Diesel,12030,0,4,2021,7.61,301
618,Hyundai Elite i20 Asta 1.2 (O) [2016],9889,1,2,2016,7.79,241
619,Skoda Octavia 1.8 TSI Style Plus AT [2017],41000,1,3,2019,19.5,767
620,Hyundai Verna SX Plus 1.6 CRDi AT,69599,0,0,2017,10.25,328
621,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,56322,1,4,2014,3.76,283
622,Hyundai Santro Xing GL Plus,24587,1,4,2013,2.65,298
623,Hyundai Creta SX Plus 1.6  Petrol,43398,1,13,2017,9.75,231
624,BMW 3 Series 320d Highline Sedan,40000,0,7,2011,9,44
625,Maruti Suzuki Wagon R 1.0 LXI ABS,18512,1,12,2021,6.87,640
626,Maruti Suzuki Alto 800 VXi,13046,1,7,2020,3.69,497
627,Hyundai i10 1.1L iRDE Magna Special Edition,73700,1,0,2014,3.9,337
628,Honda WR-V VX MT Petrol,6000,1,13,2019,8.9,202
629,Tata Harrier XTA Plus Dark Edition,6861,0,6,2022,25,798
630,Hyundai Elite i20 Magna 1.2,53776,1,13,2015,4.65,250
631,Skoda Rapid Style 1.5 TDI,61681,0,7,2017,6.54,779
632,Renault Kwid RXL,13045,1,4,2019,3.51,751
633,Maruti Suzuki Swift DZire ZDI,98251,0,12,2012,5.26,611
634,Renault Kwid CLIMBER 1.0 [2017-2019],52778,1,6,2018,3.8,748
635,Hyundai Creta SX Plus 1.6  Petrol,45000,1,8,2016,9.11,231
636,Nissan Terrano XL (D),72000,0,0,2015,6.25,715
637,MG Hector Sharp 1.5 Petrol CVT,20999,1,2,2021,19.75,435
638,Maruti Suzuki Ritz VXI BS-IV,42000,1,13,2012,3.15,595
639,Maruti Suzuki Vitara Brezza VXi,72255,1,3,2020,8.59,632
640,Hyundai Creta 1.6 S Petrol,48529,1,12,2017,10.03,208
641,Honda Jazz S Petrol,55056,1,2,2017,6.73,189
642,Land Rover Range Rover Velar 2.0 R-Dynamic S Petrol 250 [2017-2020],31059,1,7,2020,78.99,425
643,Renault Duster 110 PS RxZ Diesel,56816,0,13,2014,5.7,729
644,Maruti Suzuki Ertiga ZXi AT,12587,1,0,2021,11.9,588
645,Toyota Innova Crysta 2.8 GX AT 8 STR [2016-2020],56967,0,6,2017,18.5,889
646,Renault Kwid Neotech RXL,5485,1,12,2021,5.49,749
647,Renault Captur Platine Mono Diesel,51720,0,7,2019,6.75,720
648,Hyundai Santro Sportz AMT [2018-2020],29944,1,12,2018,5.18,294
649,Hyundai Verna 1.6 VTVT SX,16339,1,7,2018,7.5,317
650,Maruti Suzuki Vitara Brezza ZDi Plus AGS,93500,0,6,2018,9.85,635
651,Tata Nexon XMA Diesel,20678,0,13,2019,9.41,815
652,Honda City S Petrol,31605,1,13,2017,6.95,163
653,Hyundai Verna SX (O) 1.5 CRDi,14512,0,6,2021,13.83,325
654,Maruti Suzuki Alto 800 Lxi,24993,1,4,2018,3.19,495
655,Maruti Suzuki Wagon R 1.0 VXI AMT,53830,1,0,2018,4.9,648
656,Mahindra XUV300 1.5 W8 (O) [2019-2020],72000,0,6,2018,11.5,477
657,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],52907,0,3,2017,22.5,890
658,Ford Figo Titanium 1.5 Ti-VCT AT,49223,1,6,2016,5.5,123
659,Toyota Corolla Altis G Petrol,125000,1,4,2018,8.85,858
660,Tata Tiago Revotron XZ Plus,32210,1,2,2018,6.39,842
661,Honda WR-V VX MT Petrol,27963,1,4,2018,8.2,202
662,Volkswagen Tiguan Highline TDI,74000,0,6,2017,24,923
663,Audi Q7 45 TDI Technology Pack,40000,0,0,2017,61.5,41
664,Mahindra XUV500 W8,147421,0,2,2012,7.5,486
665,BMW X1 sDrive20d xLine,36114,0,8,2019,32.5,66
666,Toyota Camry Hybrid,82000,1,4,2017,21.43,852
667,Honda Amaze 1.2 SX i-VTEC,65000,1,1,2014,4.6,136
668,Mercedes-Benz C-Class 250 CDI Avantagarde,99941,0,0,2012,9.5,667
669,Ford EcoSport Titanium 1.5 TDCi,74000,0,13,2013,4.85,104
670,Maruti Suzuki Swift VXi,76256,1,7,2015,3.7,620
671,Fiat Punto Evo Dynamic 1.2,36500,1,1,2016,4,92
672,Maruti Suzuki Ignis Alpha 1.2 MT,41240,1,8,2017,5.25,591
673,Jeep Compass Limited 1.4 Petrol AT [2017-2020],23409,1,12,2019,16.92,373
674,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],11000,0,4,2022,74,680
675,Mercedes-Benz C-Class 250 CDI Avantagarde,55910,0,2,2013,13.95,667
676,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,38345,1,12,2016,4.79,283
677,Audi A6 Technology 45 TFSI,23931,1,0,2020,48,22
678,Mahindra XUV500 W7 [2018-2020],73342,0,8,2020,13.5,485
679,Honda Amaze 1.2 V CVT Petrol [2018-2020],17500,1,0,2021,8.51,137
680,Kia Seltos GTX Plus 1.4 [2020-2021],23113,1,2,2019,14.91,392
681,Mercedes-Benz GLE 250 d,47045,0,13,2016,42.75,694
682,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],32064,1,12,2014,4.15,275
683,Maruti Suzuki Dzire ZXi Plus AMT,76203,1,3,2017,6.37,575
684,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,27448,1,7,2019,4.77,283
685,Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],5030,1,7,2021,22.5,370
686,Hyundai Santro Magna [2018-2020],30858,1,6,2019,5.1,291
687,Maruti Suzuki Swift Dzire VXI,48000,1,13,2016,5.5,614
688,Hyundai i10 Sportz 1.2 AT Kappa2,36500,1,0,2011,3.2,345
689,Maruti Suzuki Celerio VXi CNG [2017-2019],34039,3,12,2018,5.24,532
690,Hyundai Elite i20 Magna Executive 1.2,24062,1,7,2018,5.36,252
691,Mercedes-Benz C-Class C 220 CDI Style,64148,0,6,2015,30,670
692,MG Hector Sharp 2.0 Diesel [2019-2020],46301,0,8,2019,16.11,438
693,Mahindra Thar LX Hard Top Petrol MT,3590,1,2,2022,16.99,474
694,Toyota Fortuner 3.0 4x2 AT,134361,0,6,2014,19.9,872
695,Toyota Fortuner 4x2 AT,108512,0,0,2016,26.49,875
696,Hyundai Grand i10 Magna 1.2 Kappa VTVT CNG [2019-2020],8423,3,12,2021,7.78,274
697,Volkswagen Polo Comfortline 1.2L (P),78800,1,13,2013,3.45,912
